Tweet_count,Username,Text,Created_at,number_of_tweets,number_of_likes
1853786097932816477,Cell,"Revisit our latest focus issue celebrating #50YearsofCell, dedicated to #neuroscience!

Explore the issue: https://t.co/BmZncmI80J https://t.co/StDJT1Zzex",Tue Nov 05 13:07:02 +0000 2024,4,15
1855996286929133843,Cell,Now online!  Transcriptome-scale RNA-targeting CRISPR screens reveal essential lncRNAs in human cells https://t.co/OKr0uUEz1r,Mon Nov 11 15:29:32 +0000 2024,14,26
1853590189572272428,Cell,In the latest issue! Empowering biomedical discovery with AI agents https://t.co/MEQsYJeRV6,Tue Nov 05 00:08:33 +0000 2024,17,53
1853893592076755318,Cell,Now online!  Type III interferons induce pyroptosis in gut epithelial cells and impair mucosal repair https://t.co/1m7e24lsee,Tue Nov 05 20:14:10 +0000 2024,33,112
1853952707411014010,Cell,Now online!  Spatial transcriptomic landscape unveils immunoglobin-associated senescence as a hallmark of aging https://t.co/LoKfdnTnFb,Wed Nov 06 00:09:04 +0000 2024,12,62
1853061858552688650,Cell,In the latest issue! Microbial transformation of dietary xenobiotics shapes gut microbiome composition https://t.co/EaH5DifVYJ,Sun Nov 03 13:09:09 +0000 2024,17,61
1854255972744822809,Cell,Now online!  Multimodal targeting chimeras enable integrated immunotherapy leveraging tumor-immune microenvironment https://t.co/wpg5A4VPWM,Wed Nov 06 20:14:08 +0000 2024,10,33
1854149026666738099,Cell,Now online!  Recognition of BACH1 quaternary structure degrons by two F-box proteins under oxidative stress https://t.co/QB84TyVhFQ,Wed Nov 06 13:09:11 +0000 2024,4,31
1854676964734271669,Cell,"To hear about what our latest focus issue celebrating #50YearsofCell means to us, read our editorial: https://t.co/wRP10Hsym2

And to dive into the world of #neuroscience, explore the issue: https://t.co/BmZncmI80J https://t.co/td47RRSyi0",Fri Nov 08 00:07:01 +0000 2024,3,8
1853424092952887456,Cell,In the latest issue! Retraction notice to: hnRNP K: An HDM2 Target and Transcriptional Coactivator of p53 in Response to DNA Damage https://t.co/jzr5loSMnj,Mon Nov 04 13:08:33 +0000 2024,3,14
1853786613593301006,Cell,Now online!  Selective degradation of multimeric proteins by TRIM21-based molecular glue and PROTAC degraders https://t.co/WKPSR4fApC,Tue Nov 05 13:09:05 +0000 2024,7,59
1853168658677461139,Cell,In the latest issue! CSF proteomics identifies early changes in autosomal dominant Alzheimer’s disease https://t.co/77CdDFUi5C,Sun Nov 03 20:13:33 +0000 2024,11,54
1853097195698094421,Cell,In the latest issue! Transplantation of chemically induced pluripotent stem-cell-derived islets under abdominal anterior rectus sheath in a type 1 diabetes patient https://t.co/ULriohPRK9,Sun Nov 03 15:29:34 +0000 2024,15,45
1853531049210605816,Cell,In the latest issue! Method of moments framework for differential expression analysis of single-cell RNA sequencing data https://t.co/fUEnhSjw0T,Mon Nov 04 20:13:33 +0000 2024,8,29
1854184499896352935,Cell,Now online!  Organ-specific electrophile responsivity mapping in live C. elegans https://t.co/jIqjrkpYfO,Wed Nov 06 15:30:08 +0000 2024,1,13
1853459577314144650,Cell,In the latest issue! A two-front nutrient supply environment fuels small intestinal physiology through differential regulation of nutrient absorption and host defense https://t.co/4Tc8YRrVFA,Mon Nov 04 15:29:33 +0000 2024,2,9
1853227794920292830,Cell,"In the latest issue! A genome-wide spectrum of tandem repeat expansions in 338,963 humans https://t.co/G2CsfXazXL",Mon Nov 04 00:08:32 +0000 2024,14,61
1853821966865907792,Cell,Now online!  Regulatory mechanisms of strigolactone perception in rice https://t.co/nVg2GGo9gC,Tue Nov 05 15:29:33 +0000 2024,0,10
1852848673354338409,Cell,"Our anniversary focus issue on #neuroscience includes content reflecting on the progress of the field, highlighting emerging topics, and paving the way toward many more years of fascinating neuroscience research.

Explore the issue: https://t.co/BmZncmI80J

#50YearsofCell https://t.co/fXhRL87g8h",Sat Nov 02 23:02:02 +0000 2024,17,49
1852684217714692217,Cell,In the latest issue! In vivo DNA replication dynamics unveil aging-dependent replication stress https://t.co/C1n5h0RQNi,Sat Nov 02 12:08:33 +0000 2024,20,47
1852850315529494856,Cell,In the latest issue! Emergence of community behaviors in the gut microbiota upon drug treatment https://t.co/KqV0qyiSv3,Sat Nov 02 23:08:34 +0000 2024,8,28
1852428917019423041,Cell,In the latest issue! Dynamic allostery drives autocrine and paracrine TGF-β signaling https://t.co/f0YuYHZ8XU,Fri Nov 01 19:14:04 +0000 2024,11,58
1852719698909245764,Cell,In the latest issue! A pontine-medullary loop crucial for REM sleep and its deficit in Parkinson’s disease https://t.co/xq6sS7PMfr,Sat Nov 02 14:29:32 +0000 2024,4,27
1852791173267775996,Cell,In the latest issue! Light-induced remodeling of phytochrome B enables signal transduction by phytochrome-interacting factor https://t.co/9VAMaBSHdW,Sat Nov 02 19:13:33 +0000 2024,2,29
1852321966847561807,Cell,"In the latest issue! Targeting Ras-, Rho-, and Rab-family GTPases via a conserved cryptic pocket https://t.co/pS2JjLIgbw",Fri Nov 01 12:09:06 +0000 2024,5,19
1852487927915491369,Cell,In the latest issue! Fine-grained descending control of steering in walking Drosophila https://t.co/MTv9ROQUh4,Fri Nov 01 23:08:34 +0000 2024,1,15
1856013795820253222,Science Magazine,"Scientists have engineered and refined a research tool to interrogate interactions between proteins on the surface of cells, providing a powerful and flexible resource to support more in-depth cell signaling research. @SciSignal #Biochemistry https://t.co/xa2fqbKtd5 https://t.co/TFe7cd9TLd",Mon Nov 11 16:39:06 +0000 2024,10,48
1854056151958147365,Science Magazine,"A self-powered visualized sensor can perceive and encode human speech and movement for wireless communication that is free from electromagnetic interference, according to a new @ScienceAdvances study. https://t.co/kfTHUxFvCt https://t.co/CWEmKZbKdm",Wed Nov 06 07:00:07 +0000 2024,24,101
1855856001238335639,Science Magazine,"“The challenges of making cities more radiatively cooler are as considerable as the benefits,” writes Xiaobo Yin in a new #ScienceExpertVoices article. https://t.co/6NiSDx4aaI https://t.co/Xv5nVJydCf",Mon Nov 11 06:12:05 +0000 2024,6,46
1855006156659237206,Science Magazine,"Named after the two-faced Roman god Janus to reflect its dual-purpose design, researchers present a novel membrane system—a Janus channel of membranes—capable of simultaneously separating oil and water from complex emulsions.

📄: https://t.co/38AH19sLLt
#SciencePerspective: https://t.co/Anj1OhKWoT",Fri Nov 08 21:55:06 +0000 2024,18,77
1854976707880513682,Science Magazine,"When asked to draw a scientist, school-age kids in the United States are increasingly sketching women, according to a study from 2018. 

Read more on #STEMSTEAMDay: https://t.co/xtOAX8sof0 https://t.co/5iz7b9YiJO",Fri Nov 08 19:58:05 +0000 2024,986,4062
1855604343531315374,Science Magazine,"""One email at a time, one informational interview after another, I became comfortable, confident, and strategic in building my network of mentors."" 

One mentor isn’t enough, writes @DrErikaMoore in this #ScienceWorkingLife essay from 2021. https://t.co/YRImsJnYKd https://t.co/W4fYrpTOmR",Sun Nov 10 13:32:05 +0000 2024,111,385
1854944750089961902,Science Magazine,"""I was late learning about science … For much of my scientific training I feared I was behind my peers. But I have been able to close the gap—and that is something to be proud of."" #CelebrateFirstGen https://t.co/jPJanVa9NB https://t.co/FD2btjh6wT",Fri Nov 08 17:51:06 +0000 2024,145,712
1855854239920095668,Science Magazine,"A new @ScienceAdvances study of more than 482,000 Wikipedia readers identifies the knowledge networks associated with the three main styles of curiosity. https://t.co/f3iPu2y0Hj https://t.co/8hU6mZniM5",Mon Nov 11 06:05:05 +0000 2024,13,53
1855917657511379246,Science Magazine,"New experiments in @SciSignal delineate how the enzyme Adssl1, which helps synthesize the metabolite inosine, supports the repair of heart tissue in mice and could be a potential therapeutic target after heart attack. https://t.co/gwzSWxyaRd https://t.co/0H8FVzHsDl",Mon Nov 11 10:17:05 +0000 2024,15,78
1854735634042060860,Science Magazine,"Metasurface folded optics create an ultrathin lens system, allowing for the design of more compact cameras in electronics like smartphones and augmented/#VirtualReality devices. https://t.co/7mQy9JKT4q @ScienceAdvances https://t.co/mnIeN7sat8",Fri Nov 08 04:00:09 +0000 2024,14,63
1854261245123133638,Science Magazine,"Using an elegant new technique, researchers in Science have developed a material that is both a hydrogel and a semiconductor at the same time.

Learn more in #ScienceAdviser: https://t.co/r3I864I97N
📩 Sign up for the free #newsletter: https://t.co/xMlx96TAml https://t.co/xxYQIFMilf",Wed Nov 06 20:35:06 +0000 2024,44,180
1854464331452133407,Science Magazine,Blasting your favorite playlist can energize your workout. The same is true of fungus—but its tastes in tunes might be quite different from yours. https://t.co/XZng9EG6et @NewsfromScience https://t.co/tHfWoGghqL,Thu Nov 07 10:02:05 +0000 2024,24,118
1855713313076007079,Science Magazine,"The global frontier where humans and nature meet—called the wildland-urban interface—expanded 35.6% from 2000 to 2020, new @ScienceAdvances research finds. https://t.co/pDDne2jA2w https://t.co/n61bqLg2fk",Sun Nov 10 20:45:05 +0000 2024,17,53
1853886278070133023,Science Magazine,"In the new book Blue: A History of Postpartum Depression in America, historian @rlouisemoran probes changing attitudes toward maternal mental health in the U.S.

Read the #ScienceBooks Review: https://t.co/r553IKDVpi https://t.co/bSFsaU2Rne",Tue Nov 05 19:45:06 +0000 2024,2,21
1855891988991889419,Science Magazine,"Using an elegant new technique, researchers in Science have developed a material that is both a hydrogel and a semiconductor at the same time.

Learn more in #ScienceAdviser: https://t.co/r3I864IGXl
📩 Sign up for the free #newsletter: https://t.co/xMlx96U8bT https://t.co/WzlOpGsHgf",Mon Nov 11 08:35:05 +0000 2024,16,96
1854812376199024665,Science Magazine,"A single enzyme fine-tunes red and yellow pigments in parrots’ polychromatic plumage, according to a new Science study. 

The findings reveal new insights into the molecular mechanisms underlying the evolution and display of color variation in one of nature’s most colorful birds. https://t.co/UiARCoftJA",Fri Nov 08 09:05:05 +0000 2024,22,90
1855336102854328672,Science Magazine,"Researchers have reconstructed the complete wiring diagram, or connectome, of the fruit fly’s adult brain—a feat akin to mapping all the buildings, avenues, and streets in a complex city. https://t.co/FoimItIb2U @NewsfromScience https://t.co/PZGmjbvNF9",Sat Nov 09 19:46:12 +0000 2024,75,418
1854171653594378719,Science Magazine,"A previously unknown mechanism enables high-level antibiotic resistance in #MRSA through an alternative cell division pathway, researchers report in Science. The findings pave the way for more effective antibiotic interventions.

📄: https://t.co/mywdhoNkNK
#SciencePerspective: https://t.co/9Prjd35nJo",Wed Nov 06 14:39:05 +0000 2024,115,316
